time,keys,matches,errors,participant,block,exp,order,handed,age,gender
347,,0,0,945198,1,SR,1,r,24,m
330,,0,0,945198,1,SR,1,r,24,m
410,,0,0,945198,1,SR,1,r,24,m
342,,0,0,945198,1,SR,1,r,24,m
368,,0,0,945198,1,SR,1,r,24,m
398,,0,0,945198,1,SR,1,r,24,m
333,,0,0,945198,1,SR,1,r,24,m
282,,0,0,945198,1,SR,1,r,24,m
302,,0,0,945198,1,SR,1,r,24,m
351,,0,0,945198,1,SR,1,r,24,m
471,,0,0,945198,2,SR,1,r,24,m
365,,0,0,945198,2,SR,1,r,24,m
318,,0,0,945198,2,SR,1,r,24,m
317,,0,0,945198,2,SR,1,r,24,m
317,,0,0,945198,2,SR,1,r,24,m
330,,0,0,945198,2,SR,1,r,24,m
333,,0,0,945198,2,SR,1,r,24,m
315,,0,0,945198,2,SR,1,r,24,m
337,,0,0,945198,2,SR,1,r,24,m
333,,0,0,945198,2,SR,1,r,24,m
343,,0,0,945198,3,SR,1,r,24,m
330,,0,0,945198,3,SR,1,r,24,m
377,,0,0,945198,3,SR,1,r,24,m
353,,0,0,945198,3,SR,1,r,24,m
305,,0,0,945198,3,SR,1,r,24,m
526,,0,0,945198,3,SR,1,r,24,m
334,,0,0,945198,3,SR,1,r,24,m
336,,0,0,945198,3,SR,1,r,24,m
306,,0,0,945198,3,SR,1,r,24,m
306,,0,0,945198,3,SR,1,r,24,m
754,k,0,0,945198,1,PM,2,r,24,m
454,j,1,0,945198,1,PM,2,r,24,m
815,k,0,0,945198,1,PM,2,r,24,m
521,k,1,1,945198,1,PM,2,r,24,m
651,k,0,0,945198,1,PM,2,r,24,m
690,j,1,0,945198,1,PM,2,r,24,m
616,k,0,0,945198,1,PM,2,r,24,m
583,j,1,0,945198,1,PM,2,r,24,m
552,k,0,0,945198,1,PM,2,r,24,m
456,j,1,0,945198,1,PM,2,r,24,m
543,k,0,0,945198,2,PM,2,r,24,m
445,j,1,0,945198,2,PM,2,r,24,m
604,k,0,0,945198,2,PM,2,r,24,m
529,j,1,0,945198,2,PM,2,r,24,m
613,j,1,0,945198,2,PM,2,r,24,m
378,k,1,1,945198,2,PM,2,r,24,m
730,k,0,0,945198,2,PM,2,r,24,m
651,j,1,0,945198,2,PM,2,r,24,m
606,k,0,0,945198,2,PM,2,r,24,m
636,k,0,0,945198,2,PM,2,r,24,m
622,k,0,0,945198,3,PM,2,r,24,m
645,k,0,0,945198,3,PM,2,r,24,m
475,j,1,0,945198,3,PM,2,r,24,m
693,k,0,0,945198,3,PM,2,r,24,m
564,k,0,0,945198,3,PM,2,r,24,m
812,j,1,0,945198,3,PM,2,r,24,m
764,j,1,0,945198,3,PM,2,r,24,m
731,k,0,0,945198,3,PM,2,r,24,m
591,j,1,0,945198,3,PM,2,r,24,m
813,j,1,0,945198,3,PM,2,r,24,m
1067,j,1,0,945198,1,NM,3,r,24,m
644,k,0,0,945198,1,NM,3,r,24,m
1252,j,1,0,945198,1,NM,3,r,24,m
625,k,0,0,945198,1,NM,3,r,24,m
682,k,0,0,945198,1,NM,3,r,24,m
823,k,0,0,945198,1,NM,3,r,24,m
667,j,1,0,945198,1,NM,3,r,24,m
600,k,0,0,945198,1,NM,3,r,24,m
694,j,1,0,945198,1,NM,3,r,24,m
675,j,1,0,945198,1,NM,3,r,24,m
678,j,1,0,945198,2,NM,3,r,24,m
639,j,1,0,945198,2,NM,3,r,24,m
597,k,0,0,945198,2,NM,3,r,24,m
537,j,1,0,945198,2,NM,3,r,24,m
557,k,0,0,945198,2,NM,3,r,24,m
576,k,0,0,945198,2,NM,3,r,24,m
729,k,0,0,945198,2,NM,3,r,24,m
620,j,1,0,945198,2,NM,3,r,24,m
971,k,0,0,945198,2,NM,3,r,24,m
700,j,1,0,945198,2,NM,3,r,24,m
704,j,1,0,945198,3,NM,3,r,24,m
556,j,1,0,945198,3,NM,3,r,24,m
664,k,0,0,945198,3,NM,3,r,24,m
859,j,1,0,945198,3,NM,3,r,24,m
526,k,0,0,945198,3,NM,3,r,24,m
907,k,0,0,945198,3,NM,3,r,24,m
677,k,0,0,945198,3,NM,3,r,24,m
905,j,1,0,945198,3,NM,3,r,24,m
765,k,0,0,945198,3,NM,3,r,24,m
842,j,1,0,945198,3,NM,3,r,24,m
536,j,1,0,945198,1,CM,4,r,24,m
476,k,0,0,945198,1,CM,4,r,24,m
1086,k,0,0,945198,1,CM,4,r,24,m
1160,j,1,0,945198,1,CM,4,r,24,m
653,k,0,0,945198,1,CM,4,r,24,m
973,k,0,0,945198,1,CM,4,r,24,m
762,j,1,0,945198,1,CM,4,r,24,m
969,j,1,0,945198,1,CM,4,r,24,m
527,k,0,0,945198,1,CM,4,r,24,m
714,j,1,0,945198,1,CM,4,r,24,m
669,j,1,0,945198,2,CM,4,r,24,m
651,k,0,0,945198,2,CM,4,r,24,m
715,j,1,0,945198,2,CM,4,r,24,m
623,j,1,0,945198,2,CM,4,r,24,m
635,k,0,0,945198,2,CM,4,r,24,m
613,k,0,0,945198,2,CM,4,r,24,m
560,j,1,0,945198,2,CM,4,r,24,m
707,k,0,0,945198,2,CM,4,r,24,m
747,k,0,0,945198,2,CM,4,r,24,m
813,j,1,0,945198,2,CM,4,r,24,m
578,k,0,0,945198,3,CM,4,r,24,m
535,j,1,0,945198,3,CM,4,r,24,m
794,k,0,0,945198,3,CM,4,r,24,m
629,j,1,0,945198,3,CM,4,r,24,m
583,k,0,0,945198,3,CM,4,r,24,m
597,k,1,1,945198,3,CM,4,r,24,m
673,k,0,0,945198,3,CM,4,r,24,m
669,j,1,0,945198,3,CM,4,r,24,m
1148,k,0,0,945198,3,CM,4,r,24,m
652,j,1,0,945198,3,CM,4,r,24,m
